"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Mike Minor","Rangers","7.29","2.17","3.36","1.38","19.4 %","5.8 %","13.7 %",".249","1.20",".279","69.5 %","107","104","111","4.63","4.40","0.23","4.60","4.30","10021"
"Zack Godley","Diamondbacks","9.06","4.67","1.94","1.10","22.3 %","11.5 %","10.8 %",".264","1.56",".326","70.3 %","120","109","102","4.85","4.42","0.43","4.12","4.35","14862"
"Trevor Williams","Pirates","6.51","3.06","2.13","1.15","17.3 %","8.1 %","9.1 %",".237","1.24",".262","64.9 %","116","112","116","4.60","4.44","0.16","4.70","4.74","16977"
"German Marquez","Rockies","9.09","3.25","2.80","1.48","23.0 %","8.2 %","14.8 %",".261","1.40",".311","70.6 %","105","103","96","4.92","4.44","0.48","3.88","3.99","15038"
"James Shields","White Sox","6.02","3.56","1.69","1.03","15.9 %","9.4 %","6.5 %",".223","1.24",".243","68.4 %","100","108","125","4.12","4.53","-0.41","5.17","5.14","7059"
"Marco Estrada","Blue Jays","7.03","2.51","2.80","1.51","18.6 %","6.6 %","11.9 %",".264","1.32",".292","72.2 %","113","109","125","4.72","4.56","0.16","5.16","4.86","1118"
"Tyler Mahle","Reds","8.88","3.75","2.37","1.46","22.9 %","9.7 %","13.2 %",".253","1.39",".300","81.5 %","90","111","100","3.66","4.56","-0.90","4.05","4.23","16358"
"Tanner Roark","Nationals","7.50","3.24","2.32","1.28","19.7 %","8.5 %","11.2 %",".246","1.30",".281","71.5 %","113","114","111","4.60","4.57","0.03","4.47","4.46","8753"
"Reynaldo Lopez","White Sox","6.43","4.03","1.60","0.94","16.6 %","10.4 %","6.2 %",".237","1.34",".267","73.9 %","92","109","134","3.77","4.59","-0.82","5.56","5.23","16400"
"Felix Hernandez","Mariners","7.43","3.08","2.42","1.28","18.8 %","7.8 %","11.0 %",".259","1.37",".295","67.4 %","129","113","107","5.13","4.59","0.53","4.43","4.41","4772"
"Jason Hammel","Royals","5.80","2.73","2.13","1.23","14.0 %","6.6 %","7.5 %",".307","1.61",".337","62.0 %","146","113","125","6.16","4.60","1.56","5.17","5.03","4538"
"Ivan Nova","Pirates","6.92","1.66","4.18","1.66","18.1 %","4.3 %","13.7 %",".266","1.26",".289","71.7 %","113","117","101","4.48","4.65","-0.16","4.10","4.12","1994"
"Mike Fiers","Tigers","6.60","1.94","3.40","1.55","17.4 %","5.1 %","12.3 %",".254","1.22",".273","79.5 %","90","112","115","3.79","4.70","-0.91","4.77","4.46","7754"
"Jose Quintana","Cubs","8.25","4.22","1.95","1.37","21.1 %","10.8 %","10.3 %",".243","1.41",".281","76.1 %","104","116","107","4.22","4.70","-0.48","4.33","4.56","11423"
"Jake Odorizzi","Twins","9.63","4.27","2.26","1.49","24.4 %","10.8 %","13.6 %",".251","1.44",".307","75.7 %","108","113","116","4.57","4.71","-0.14","4.78","4.42","6397"
"Daniel Mengden","Athletics","5.46","1.89","2.89","1.49","14.5 %","5.0 %","9.5 %",".243","1.17",".250","66.7 %","110","116","110","4.47","4.74","-0.28","4.56","4.72","16980"
"Luis Castillo","Reds","8.68","3.15","2.76","1.72","22.3 %","8.1 %","14.2 %",".259","1.38",".298","66.5 %","136","116","97","5.53","4.77","0.76","3.91","4.05","15689"
"Kyle Hendricks","Cubs","6.68","2.78","2.40","1.48","17.8 %","7.4 %","10.4 %",".245","1.25",".265","74.8 %","105","118","105","4.27","4.79","-0.52","4.23","4.44","12049"
"Ian Kennedy","Royals","8.25","3.24","2.55","1.67","20.9 %","8.2 %","12.7 %",".264","1.42",".300","71.8 %","121","119","110","5.11","4.80","0.30","4.57","4.45","6986"
